"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00028817","1983","32.258","-111.0052","705.6","TUCSON U OF A NUMBER 1, AZ US","   1508.6","","    1508.6","0","        63","0","        37","0","         5","0","        0","","         0","0","         0","0","        27","0","         0","0","       277","0","       132","0","","","   -3.9","0,0102, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  77.5"," ,0,1001, ","   45.0","0,0705, ","    2670.9","0","0.0","0,1123","-2.8","0,1127","","","","","0.0","0,0414","-2.8","0,0122","","","","","    1008.3","3","    1008.3","0","     13.00","0","     27.09","0","    593.1"," ,0","        0"," ,0","     19.76","0","     27.98","0","     11.54","0","",""
"USC00028817","1984","32.258","-111.0052","705.6","TUCSON U OF A NUMBER 1, AZ US","   1475.4","","    1475.4","0","        64","0","        36","0","         2","0","        0","","         0","0","         0","0","        33","0","         0","0","       276","0","       145","0","","","   -3.3","0,1127, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  31.8"," ,0,0813, ","   45.0","0,0704, ","","","-0.6","0,1126","-3.3","0,1127","","","","","-1.1","0,0306","-2.2","0,0227","","","","","     882.1","1","     882.1","0","     12.26","0","     26.52","0","    394.0"," ,0","        0"," ,0","     20.06","0","     28.58","0","     11.54","0","     27282","0"
"USC00028817","1985","32.258","-111.0052","705.6","TUCSON U OF A NUMBER 1, AZ US","   1551.4","","    1551.4","0","        53","0","        34","0","         0","0","        0","","         0","0","         0","0","        31","0","         0","0","       289","0","       151","0","","","   -6.1","0,0201, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  22.4"," ,0,0731, ","   43.3","0,0608, ","    2842.0","0","-0.6","0,1114","-2.2","0,1115","","","","","-1.1","0,0330","-2.2","0,0206","-5.0","0,0202","","","     896.4","4","     896.4","0","","","","","    277.4"," ,0","        0"," ,0","     20.05","0","     28.68","0","     11.42","0","     22289","0"
"USC00028817","1986","32.258","-111.0052","705.6","TUCSON U OF A NUMBER 1, AZ US","   1723.2","","    1723.2","0","        47","0","        33","0","         0","0","        0","","         0","0","         0","0","        13","0","         0","0","       309","0","       155","0","","","   -2.2","0,1212,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  19.1"," ,0,0317,+","   43.9","0,0731, ","    2950.1","0","-1.7","0,1201","-2.2","0,1212","","","","","-2.2","0,0211","-2.2","0,0211","","","","","     699.0","0","     699.0","0","     13.38","0","     26.89","0","    241.7"," ,0","        0"," ,0","     21.20","0","     29.73","0","     12.67","0","     29672","0"
"USC00028817","1987","32.258","-111.0052","705.6","TUCSON U OF A NUMBER 1, AZ US","   1754.8","","    1754.8","0","        50","0","        28","0","         0","0","","","","","         0","0","        26","0","         0","0","       304","0","       164","0","","","   -5.6","0,0117, ","","","","","  25.1"," ,0,0225, ","   43.3","0,0724, ","","","0.0","0,1126","-2.8","0,1215","-4.4","0,1227","","","-0.6","0,0228","-3.3","0,0122","-5.0","0,0118","","","     815.2","2","     815.2","0","","","","","    207.7"," ,0","","","     20.73","0","     29.08","0","     12.38","0","",""
"USC00028817","1988","32.258","-111.0052","705.6","TUCSON U OF A NUMBER 1, AZ US","   1751.2","","    1751.2","0","","","","","","","","","","","         0","0","        30","0","         0","0","       298","0","       163","0","","","   -7.2","0,1229, ","","","","","","","   43.9","0,0622, ","    3012.5","0","-0.6","0,1119","-3.9","0,1227","-5.6","0,1228","-7.2","0,1229","-0.6","0,0313","-2.2","0,0124","","","","","     916.6","6","     916.6","0","     11.82","0","     26.58","0","","","","","     20.61","0","     29.30","0","     11.92","0","     29614","0"
"USC00028817","1989","32.258","-111.0052","705.6","TUCSON U OF A NUMBER 1, AZ US","   1881.1","","    1881.1","0","","","","","","","        0","","         0","0","         0","0","        29","0","         0","0","       305","0","       173","0","","","   -6.1","0,1212, ","     0"," ,0,1231,+","     0"," ,0,1231,+","","","   45.0","0,0704, ","    3229.6","0","-0.6","0,1128","-2.2","0,1201","-6.1","0,1212","","","0.0","0,0305","-2.2","0,0117","-5.0","0,0109","","","     805.9","9","     805.9","0","     11.41","0","     26.17","0","","","        0"," ,0","     21.33","0","     30.39","0","     12.26","0","     21518","0"
"USC00028817","1990","32.258","-111.0052","705.6","TUCSON U OF A NUMBER 1, AZ US","   1677.0","","    1677.0","0","        68","0","        36","0","         1","0","        0","","         0","0","         0","0","        42","0","         0","0","       281","0","       157","0","","","   -6.1","0,0216, ","     0"," ,0,1231,+","     0","T,0,0219,+","  36.6"," ,0,0724, ","   45.6","0,0627,+","    2811.5","0","-1.7","0,1128","-2.8","0,1207","-5.6","0,1223","","","-0.6","0,0315","-2.2","0,0314","-6.1","0,0216","","","     919.0","0","     919.0","0","     12.00","0","     26.00","0","    362.7"," ,0","        0","T,0","     20.50","0","     28.92","0","     12.09","0","     24760","0"
"USC00028817","1991","32.258","-111.0052","705.6","TUCSON U OF A NUMBER 1, AZ US","   1616.4","","    1616.4","0","        54","0","        24","0","         2","0","        0","","         0","0","         0","0","         7","0","         0","0","       281","0","       159","0","","","   -4.4","0,0130, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  28.4"," ,0,0105, ","   42.8","0,0618, ","    2793.8","0","-1.7","0,1202","-2.8","0,1203","","","","","-0.6","0,0317","-3.3","0,0131","-4.4","0,0130","","","     891.3","3","     891.3","0","     12.29","0","     25.88","0","    231.6"," ,0","        0"," ,0","     20.33","0","     28.64","0","     12.02","0","     23203","0"
"USC00028817","1992","32.258","-111.0052","705.6","TUCSON U OF A NUMBER 1, AZ US","   1743.5","","    1743.5","0","        68","0","        33","0","         1","0","        0","","         0","0","         0","0","        17","0","         0","0","       279","0","       163","0","","","   -3.9","0,1125, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  29.2"," ,0,0824, ","   42.8","0,0705,+","    2469.6","0","-1.1","0,1121","-3.9","0,1125","","","","","-1.1","0,0124","-2.2","0,0115","","","","","     835.0","0","     835.0","0","     12.93","0","     25.25","0","    360.3"," ,0","        0"," ,0","     20.72","0","     28.76","0","     12.67","0","     18972","0"
