"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00029114","1962","36.9953","-111.4914","1136.9","WAHWEAP, AZ US","   1186.7","","    1186.7","0","        25","0","        14","0","         0","0","        0","","         0","0","         0","0","        79","0","         2","0","       217","0","       114","0","","","  -11.1","0,1228,+","     0"," ,0,1231,+","    13"," ,0,0101, ","   8.1"," ,0,0515, ","   41.1","0,0814, ","    2901.3","0","-1.1","0,1119","-3.3","0,1211","-5.0","0,1214","-10.0","0,1226","-10.0","0,1226","-1.1","0,0317","-2.8","0,0316","-5.0","0,0315","-8.3","0,0228","-8.9","0,0116","","","","","     84.5"," ,0","       13"," ,0","     16.02","0","     23.33","0","      8.71","0","     44665","0"
"USC00029114","1963","36.9953","-111.4914","1136.9","WAHWEAP, AZ US","","","","","        34","0","        17","0","         0","0","        0","","         1","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","   102"," ,0,0103, ","  21.6"," ,0,0302, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    145.6"," ,0","      115"," ,0","","","","","","","     46578","0"
"USC00029114","1964","36.9953","-111.4914","1136.9","WAHWEAP, AZ US","   1180.0","","    1180.0","0","        26","0","        10","0","         0","0","        0","","         0","0","         0","0","       101","0","         1","0","       200","0","       104","0","","","  -13.3","0,0115, ","     0"," ,0,1231,+","     0"," ,0,1231,+","   9.7"," ,0,0402, ","   41.7","0,0729, ","","","-3.3","0,1114","-3.3","0,1114","-4.4","0,1115","-6.7","0,1214","","","0.0","0,0424","-2.2","0,0314","-5.0","0,0309","-6.7","0,0224","-8.9","0,0215","    2220.3","3","    2220.3","0","     72.9"," ,0","        0"," ,0","     15.32","0","     22.54","0","      8.11","0","",""
"USC00029114","1965","36.9953","-111.4914","1136.9","WAHWEAP, AZ US","    933.0","","     933.0","0","        52","0","        27","0","         1","0","","","","","         0","0","        75","0","         0","0","       189","0","        83","0","","","   -6.7","0,0213,+","","","","","  31.8"," ,0,0513, ","   43.3","0,0703, ","","","-1.1","0,1127","-3.3","0,1129","-4.4","0,1219","","","","","-0.6","0,0411","-2.2","0,0306","-5.0","0,0304","-6.7","0,0213","","","    2054.4","4","    2054.4","0","    203.4"," ,0","","","     15.27","0","     21.93","0","      8.61","0","",""
"USC00029114","1966","36.9953","-111.4914","1136.9","WAHWEAP, AZ US","   1288.0","","    1288.0","0","        26","0","        12","0","         0","0","","","","","         0","0","        87","0","         1","0","       214","0","       109","0","","","  -11.7","0,1231, ","","","","","  13.5"," ,0,1108, ","   41.1","0,0808, ","","","0.0","0,1124","-2.8","0,1210","-5.6","0,1223","-7.2","0,1228","-11.7","0,1231","0.0","0,0420","-5.6","0,0304","-5.6","0,0304","-7.2","0,0216","-8.9","0,0122","    2044.2","2","    2044.2","0","    107.2"," ,0","","","     16.22","0","     23.06","0","      9.39","0","",""
"USC00029114","1967","36.9953","-111.4914","1136.9","WAHWEAP, AZ US","   1154.3","","    1154.3","0","        26","0","        10","0","         0","0","       17","","","","         0","0","        94","0","        14","0","       207","0","        92","0","","","  -15.6","0,1222, ","   203"," ,0,1216, ","","","  17.8"," ,0,1215, ","   41.1","0,0704, ","","","-1.7","0,1124","-5.6","0,1203","-5.6","0,1203","-8.3","0,1217","-13.3","0,1218","-1.7","0,0502","-2.8","0,0422","-5.0","0,0221","-6.7","0,0111","-10.0","0,0109","    2014.3","3","    2014.3","0","    103.5"," ,0","","","     15.48","0","     22.53","0","      8.43","0","",""
"USC00029114","1968","36.9953","-111.4914","1136.9","WAHWEAP, AZ US","","","","","        34","0","        17","0","         0","0","       24","","         0","0","","","","","","","","","","","","","","","    76"," ,0,0112,+","     0"," ,0,1231,+","  21.6"," ,0,0726, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     99.8"," ,0","        0"," ,0","","","","","","","",""
"USC00029114","1969","36.9953","-111.4914","1136.9","WAHWEAP, AZ US","   1244.4","","    1244.4","0","        30","0","        18","0","         0","0","","","","","         0","0","        70","0","         0","0","       183","0","       108","0","","","   -7.8","0,0130, ","","","","","  16.0"," ,0,1022, ","   41.7","0,0806,+","","","-2.2","0,1118","-2.2","0,1118","-5.6","0,1128","-7.2","0,1231","","","-1.7","0,0316","-2.2","0,0311","-5.0","0,0204","-6.7","0,0131","","","    1975.4","4","    1975.4","0","    114.0"," ,0","","","     16.14","0","     22.83","0","      9.44","0","",""
"USC00029114","1970","36.9953","-111.4914","1136.9","WAHWEAP, AZ US","   1167.7","","    1167.7","0","        35","0","        15","0","         0","0","        0","","         0","0","         0","0","        62","0","         0","0","       179","0","        97","0","","","  -10.0","0,0106,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  16.8"," ,0,0301, ","   42.2","0,0626, ","","","-0.6","0,1028","-2.2","0,1211","-4.4","0,1219","","","","","0.0","0,0402","-2.8","0,0203","-7.2","0,0130","-7.2","0,0130","-8.9","0,0107","    2049.2","2","    2049.2","0","    101.0"," ,0","        0"," ,0","     15.89","0","     22.70","0","      9.08","0","",""
"USC00029114","1971","36.9953","-111.4914","1136.9","WAHWEAP, AZ US","   1109.5","","    1109.5","0","        32","0","        15","0","         0","0","        4","","","","         0","0","        90","0","         7","0","       194","0","        96","0","","","  -16.1","0,0106, ","    76"," ,0,1214, ","","","  14.0"," ,0,0826, ","   42.2","0,0716,+","","","-2.2","0,1029","-2.2","0,1029","-4.4","0,1030","-10.6","0,1209","-10.6","0,1209","0.0","0,0321","-3.9","0,0319","-5.0","0,0307","-8.3","0,0227","-8.9","0,0110","    2111.7","7","    2111.7","0","     85.3"," ,0","","","     15.14","0","     22.22","0","      8.06","0","",""
