"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00093810","1897","34.45","-85.266667","217.9","GORE, GA US","","","","","","","","","","","","","","","","","","","","","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00093810","1898","34.45","-85.266667","217.9","GORE, GA US","    868.8","","     868.8","6","       112","6","        82","6","        23","6","         0","6","        81","6","         4","6","       187","6","        31","6","         1"," ","  -11.7","6,0203, "," 127.0"," ,6,0902, ","   35.6","6,0702,+","-1.1","6,1024","-2.2","6,1028","-5.6","6,1125","-8.3","6,1127","-8.9","6,1211","0.0","6,0408","-2.2","6,0305","-5.0","6,0226","-7.2","6,0223","-10.6","6,0204","    1842.9","9","    1842.9","6","   1650.6"," ,6","     15.04","6","     21.00","6","      9.08","6"
"USC00093810","1899","34.45","-85.266667","217.9","GORE, GA US","","","","","       103","6","        84","6","        24","6","","","","","","","","","","","","","","","  83.1"," ,6,0204, ","","","","","","","","","","","","","","","","","","","","","","","    2084.2","2","    2084.2","6","   1461.5"," ,6","","","","","",""
"USC00093810","1900","34.45","-85.266667","217.9","GORE, GA US","    922.4","","     922.4","6","        95","6","        77","6","        28","6","         0","6","        73","6","         5","6","       215","6","        49","6","","","  -13.9","6,0218, "," 133.9"," ,6,0915, ","   37.8","6,0809, ","-3.9","6,1109","-3.9","6,1109","-4.4","6,1113","","","","","0.0","6,0414","-3.9","6,0401","-6.7","6,0317","-6.7","6,0317","-11.7","6,0225","","","","","   1687.0"," ,6","     15.74","6","     21.98","6","      9.51","6"
"USC00093810","1904","34.45","-85.266667","217.9","GORE, GA US","    769.4","","     769.4","6","        84","6","        69","6","        14","6","         0","6","        71","6","         0","6","       204","6","        36","6","","","   -9.4","6,0127,+","  56.6"," ,6,0804, ","   36.1","6,0919,+","-0.6","6,1023","-2.2","6,1024","-4.4","6,1128","-7.8","6,1220","","","0.0","6,0405","-2.8","6,0304","-5.6","6,0213","-8.3","6,0202","-8.9","6,0130","    2045.8","8","    2045.8","6","   1046.0"," ,6","     15.11","6","     21.41","6","      8.81","6"
"USC00093810","1905","34.45","-85.266667","217.9","GORE, GA US","    893.3","","     893.3","6","       110","6","        92","6","        14","6","         1","6","        71","6","        10","6","       201","6","        33","6","","","  -21.7","6,0214, ","  73.7"," ,6,0208, ","   35.0","6,0611, ","-0.6","6,1111","-4.4","6,1123","-4.4","6,1123","-7.2","6,1204","","","-0.6","6,0418","-5.0","6,0218","-5.0","6,0218","-9.4","6,0216","-9.4","6,0216","    2015.2","2","    2015.2","6","   1404.0"," ,6","     15.24","6","     20.69","6","      9.78","6"
"USC00093810","1906","34.45","-85.266667","217.9","GORE, GA US","    849.8","","     849.8","6","       102","6","        90","6","        21","6","         0","6","        69","6","         3","6","       197","6","        15","6","","","  -10.0","6,1224, ","  87.4"," ,6,1118, ","   33.9","6,0609,+","-1.7","6,1011","-2.2","6,1029","-4.4","6,1114","-10.0","6,1224","-10.0","6,1224","-6.7","6,0321","-6.7","6,0321","-6.7","6,0321","-6.7","6,0321","-8.9","6,0203","    1881.9","9","    1881.9","6","   1632.6"," ,6","     15.44","6","     20.96","6","      9.92","6"
"USC00093810","1907","34.45","-85.266667","217.9","GORE, GA US","    750.5","","     750.5","6","        92","6","        81","6","        15","6","         0","6","        60","6","         0","6","       196","6","        19","6","","","   -8.3","6,1212, ","  76.2"," ,6,0922, ","   35.0","6,0708,+","-0.6","6,1104","-2.8","6,1113","-5.6","6,1114","-7.8","6,1206","","","-3.3","6,0415","-3.3","6,0415","-5.6","6,0209","-7.2","6,0128","","","    1686.0","0","    1686.0","6","   1280.0"," ,6","     15.45","6","     20.93","6","      9.98","6"
"USC00093810","1908","34.45","-85.266667","217.9","GORE, GA US","    892.5","","     892.5","6","       100","6","        80","6","        20","6","         0","6","        55","6","         0","6","       226","6","        53","6","","","  -11.1","6,0203, ","  78.7"," ,6,0210, ","   36.1","6,0816,+","0.0","6,1031","-3.9","6,1106","-5.6","6,1115","","","","","-1.1","6,0321","-7.2","6,0228","-7.2","6,0228","-7.2","6,0228","-11.1","6,0203","    1859.8","8","    1859.8","6","   1426.3"," ,6","     16.21","6","     22.66","6","      9.77","6"
"USC00093810","1909","34.45","-85.266667","217.9","GORE, GA US","    837.7","","     837.7","6","","","","","","","         0","6","        68","6","         3","6","       225","6","        44","6","","","  -13.3","6,0131, ","","","   37.8","6,0828, ","-2.2","6,1013","-2.2","6,1013","-5.0","6,1119","-6.7","6,1209","-8.9","6,1221","0.0","6,0502","-2.2","6,0326","-4.4","6,0226","-7.2","6,0203","-9.4","6,0201","    1550.9","9","    1550.9","6","","","     15.99","6","     22.59","6","      9.38","6"
