"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"CA001096631","2010","53.0333","-122.5","545.0","QUESNEL AIRPORT AUTO, BC CA","     34.8","","      34.8","C","        83","C","        34","C","         0","C","        13","C","       166","C","        45","C","        79","C","         4","C","  -27.9","C,1123, ","  21.9"," ,C,0831, ","   33.0","C,0708, ","-0.9","C,0917","-3.1","C,0918","-4.8","C,1016","-6.7","C,1112","-9.2","C,1117","-0.6","C,0616","-5.3","C,0509","-5.3","C,0509","-7.8","C,0410","-10.0","C,0309","","","","","    265.8"," ,C","      6.03","C","     12.23","C","     -0.16","C","","","",""
"CA001096631","2011","53.0333","-122.5","545.0","QUESNEL AIRPORT AUTO, BC CA","","","","","       119","C","        56","C","         1","C","        28","C","       188","C","","","","","","","  -29.0","C,0219, ","  28.7"," ,C,1216, ","","","-0.5","C,0929","-2.4","C,1010","-6.4","C,1014","-7.5","C,1016","-9.4","C,1104","-1.9","C,0513","-4.6","C,0501","-4.6","C,0501","-7.1","C,0422","-9.0","C,0311","","","","","    448.0"," ,C","","","","","     -1.59","C","","","",""
"CA001096631","2012","53.0333","-122.5","545.0","QUESNEL AIRPORT AUTO, BC CA","     49.2","","      49.2","C","","","","","","","        13","C","       195","C","        60","C","        89","C","         3","C","  -36.3","C,0118, ","","","   33.7","C,0818, ","-2.0","C,0912","-4.5","C,1003","-4.5","C,1003","-7.8","C,1023","-15.5","C,1030","-3.3","C,0519","-3.3","C,0519","-5.3","C,0421","-6.7","C,0408","-9.5","C,0322","    4766.2","2","    4766.2","C","","","      5.18","C","     11.47","C","     -1.11","C","","","",""
"CA001096631","2013","53.0333","-122.5","545.0","QUESNEL AIRPORT AUTO, BC CA","     73.8","","      73.8","C","       108","C","        46","C","         0","C","        11","C","       185","C","        47","C","        99","C","         5","C","  -26.2","C,0111, ","  21.1"," ,C,1115, ","   36.3","C,0701, ","-1.5","C,0925","-2.8","C,1014","-5.6","C,1029","-8.7","C,1104","-11.5","C,1118","-6.8","C,0501","-6.8","C,0501","-6.8","C,0501","-6.8","C,0501","-11.4","C,0324","    4727.0","0","    4727.0","C","    407.5"," ,C","      6.01","C","     12.20","C","     -0.18","C","","","",""
"CA001096631","2014","53.0333","-122.5","545.0","QUESNEL AIRPORT AUTO, BC CA","     59.1","","      59.1","C","","","","","","","        29","C","       168","C","        66","C","        92","C","         5","C","  -35.1","C,0207, ","","","   35.1","C,0714, ","-0.4","C,0909","-2.6","C,0910","-7.7","C,1110","-7.7","C,1110","-12.6","C,1111","-0.2","C,0606","-2.8","C,0511","-6.4","C,0413","-12.3","C,0401","-12.3","C,0401","    4895.7","7","    4895.7","C","","","      5.12","C","     11.26","C","     -1.02","C","","","",""
"CA001096631","2015","53.0333","-122.5","545.0","QUESNEL AIRPORT AUTO, BC CA","     51.4","","      51.4","C","       107","C","        59","C","         0","C","         1","C","       162","C","        50","C","       106","C","         5","C","  -19.9","C,0104, ","  11.6"," ,C,1227, ","   35.4","C,0708, ","-1.2","C,0906","-3.1","C,1004","-6.6","C,1114","-7.0","C,1116","-12.3","C,1118","-1.6","C,0508","-3.7","C,0503","-4.6","C,0418","-7.8","C,0316","-13.5","C,0304","    4125.0","0","    4125.0","C","    390.2"," ,C","      6.73","C","     12.78","C","      0.69","C","","","",""
"CA001096631","2016","53.0333","-122.5","545.0","QUESNEL AIRPORT AUTO, BC CA","     30.0","","      30.0","C","       154","C","        60","C","         0","C","        18","C","       156","C","        41","C","        90","C","         0","C","  -28.6","C,1216, ","  13.8"," ,C,0917,+","   30.6","C,0819, ","-0.8","C,0928","-2.2","C,0929","-6.0","C,1011","-7.6","C,1118","-12.1","C,1204","-0.9","C,0513","-2.5","C,0505","-4.9","C,0328","-7.7","C,0318","-11.1","C,0203","    4137.7","7","    4137.7","C","    482.4"," ,C","      6.71","C","     12.54","C","      0.88","C","        22","C","      70.0","C"
"CA001096631","2017","53.0333","-122.5","545.0","QUESNEL AIRPORT AUTO, BC CA","     39.4","","      39.4","C","       115","C","        37","C","         0","C","        24","C","       180","C","        66","C","        94","C","         8","C","  -30.1","C,0110, ","  21.1"," ,C,1014, ","   34.9","C,0810, ","-1.1","C,0913","-3.1","C,0922","-4.6","C,1003","-8.0","C,1030","-9.9","C,1102","-3.4","C,0507","-3.4","C,0507","-5.5","C,0404","-7.5","C,0320","-12.5","C,0312","    4676.9","9","    4676.9","C","    297.2"," ,C","      5.16","C","     11.37","C","     -1.06","C","        15","C","      65.0","C"
"CA001096631","2018","53.0333","-122.5","545.0","QUESNEL AIRPORT AUTO, BC CA","     48.5","","      48.5","C","       107","C","        46","C","         1","C","        20","C","       181","C","        49","C","        80","C","         8","C","  -29.4","C,0220, ","  26.3"," ,C,0207, ","   36.0","C,0729, ","-0.3","C,0912","-4.1","C,0913","-5.0","C,1001","-8.8","C,1003","-9.9","C,1107","-1.7","C,0531","-3.5","C,0430","-4.4","C,0423","-7.6","C,0405","-9.7","C,0402","    4952.4","4","    4952.4","C","    448.3"," ,C","      5.24","C","     11.60","C","     -1.13","C","","","",""
"CA001096631","2019","53.0333","-122.5","545.0","QUESNEL AIRPORT AUTO, BC CA","     21.2","","      21.2","C","       147","C","        63","C","         1","C","        26","C","       177","C","        74","C","        88","C","         0","C","  -34.0","C,0204, ","  29.4"," ,C,1231, ","   31.2","C,0807, ","-1.0","C,0928","-3.6","C,0929","-5.7","C,0930","-8.7","C,1009","-8.9","C,1110","-0.4","C,0513","-3.4","C,0430","-5.4","C,0429","-6.8","C,0321","-12.4","C,0312","    4828.0","0","    4828.0","C","    499.8"," ,C","      4.78","C","     10.81","C","     -1.24","C","","","",""
"CA001096631","2020","53.0333","-122.5","545.0","QUESNEL AIRPORT AUTO, BC CA","","","","","       179","C","        74","C","         0","C","","","","","","","","","","","","","  22.0"," ,C,0313, ","","","","","","","","","","","","","","","","","","","","","","","    4811.8","8","    4811.8","C","    574.8"," ,C","","","","","","","","","",""
"CA001096631","2021","53.0333","-122.5","545.0","QUESNEL AIRPORT AUTO, BC CA","     99.8","","      99.8","C","       131","C","        48","C","         1","C","        23","C","       185","C","        57","C","        81","C","         9","C","  -38.9","C,1227, ","  31.4"," ,C,0802, ","   41.7","C,0629, ","-1.2","C,0916","-3.5","C,1012","-6.1","C,1029","-9.1","C,1030","-9.1","C,1030","-0.3","C,0529","-3.0","C,0505","-6.5","C,0426","-6.7","C,0424","-9.0","C,0315","","","","","    435.8"," ,C","      5.19","C","     11.42","C","     -1.04","C","","","",""
"CA001096631","2022","53.0333","-122.5","545.0","QUESNEL AIRPORT AUTO, BC CA","     77.7","","      77.7","C","       127","C","        54","C","         0","C","        27","C","       184","C","        70","C","        94","C","        10","C","  -41.0","C,1221, ","  14.6"," ,C,0202, ","   35.2","C,0728, ","-0.3","C,0920","-2.9","C,1022","-4.4","C,1025","-7.5","C,1101","-10.1","C,1102","-1.9","C,0522","-2.6","C,0521","-4.8","C,0508","-7.7","C,0417","-9.1","C,0416","    4861.2","2","    4861.2","C","    430.5"," ,C","      4.98","C","     11.23","C","     -1.28","C","","","",""
