"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CCLV","1998","37.5531","-121.8439","374.9","CALAVERAS ROAD CALIFORNIA, CA US","    370.5","","     370.5","U","         0","U","         6","U","         0","U","       107","U","        26","U","   -2.2","U,1224, ","   41.1","U,0804,+","-0.6","U,1220","-2.2","U,1224","","","    1745.7","7","    1745.7","U","     14.13","U","     18.39","U","      9.87","U"
"USR0000CCLV","1999","37.5531","-121.8439","374.9","CALAVERAS ROAD CALIFORNIA, CA US","    323.3","","     323.3","U","         0","U","         1","U","         0","U","       133","U","        18","U","    0.0","U,0106, ","   38.9","U,0825, ","","","","","0.0","U,0106","    2021.3","3","    2021.3","U","     14.11","U","     19.05","U","      9.17","U"
"USR0000CCLV","2000","37.5531","-121.8439","374.9","CALAVERAS ROAD CALIFORNIA, CA US","    308.6","","     308.6","U","         0","U","         0","U","         0","U","       134","U","        21","U","    2.8","U,1203,+","   40.6","U,0614, ","","","","","","","    1541.7","7","    1541.7","U","     14.52","U","     19.46","U","      9.59","U"
"USR0000CCLV","2001","37.5531","-121.8439","374.9","CALAVERAS ROAD CALIFORNIA, CA US","    361.6","","     361.6","U","         0","U","         0","U","         0","U","       164","U","        21","U","    1.7","U,0403,+","   38.3","U,0703, ","","","","","","","    1732.1","1","    1732.1","U","     14.91","U","     19.96","U","      9.85","U"
"USR0000CCLV","2002","37.5531","-121.8439","374.9","CALAVERAS ROAD CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","    1685.9","9","    1685.9","U","","","","","",""
"USR0000CCLV","2006","37.5531","-121.8439","374.9","CALAVERAS ROAD CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","    1603.1","1","    1603.1","U","","","","","",""
"USR0000CCLV","2007","37.5531","-121.8439","374.9","CALAVERAS ROAD CALIFORNIA, CA US","    249.2","","     249.2","U","         0","U","         4","U","         0","U","       157","U","        10","U","   -1.1","U,0113, ","   37.2","U,0705, ","","","","","0.0","U,0114","","","","","     14.43","U","     19.42","U","      9.44","U"
"USR0000CCLV","2008","37.5531","-121.8439","374.9","CALAVERAS ROAD CALIFORNIA, CA US","    454.4","","     454.4","U","         0","U","         0","U","         0","U","       161","U","        26","U","    0.6","U,1217, ","   40.0","U,0708, ","","","","","","","    1762.1","1","    1762.1","U","     14.89","U","     20.08","U","      9.69","U"
"USR0000CCLV","2009","37.5531","-121.8439","374.9","CALAVERAS ROAD CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","    1574.9","9","    1574.9","U","","","","","",""
"USR0000CCLV","2012","37.5531","-121.8439","374.9","CALAVERAS ROAD CALIFORNIA, CA US","    333.5","","     333.5","U","         0","U","         1","U","         0","U","       151","U","        18","U","    0.0","U,0116, ","   37.8","U,1002, ","","","","","0.0","U,0116","","","","","     14.81","U","     19.82","U","      9.81","U"
"USR0000CCLV","2014","37.5531","-121.8439","374.9","CALAVERAS ROAD CALIFORNIA, CA US","    397.4","","     397.4","U","         0","U","         0","U","         0","U","       187","U","        18","U","    1.7","U,1231, ","   36.7","U,0608, ","","","","","","","    1302.9","9","    1302.9","U","     16.30","U","     21.13","U","     11.47","U"
"USR0000CCLV","2015","37.5531","-121.8439","374.9","CALAVERAS ROAD CALIFORNIA, CA US","    407.6","","     407.6","U","         0","U","         0","U","         0","U","       164","U","        21","U","    0.6","U,1228, ","   37.8","U,0816, ","","","","","","","    1153.1","1","    1153.1","U","     15.86","U","     20.57","U","     11.14","U"
"USR0000CCLV","2016","37.5531","-121.8439","374.9","CALAVERAS ROAD CALIFORNIA, CA US","    362.2","","     362.2","U","         0","U","         0","U","         0","U","       160","U","        25","U","    1.1","U,1226,+","   36.7","U,0926,+","","","","","","","    1345.9","9","    1345.9","U","     15.61","U","     20.49","U","     10.72","U"
"USR0000CCLV","2017","37.5531","-121.8439","374.9","CALAVERAS ROAD CALIFORNIA, CA US","    514.8","","     514.8","U","         0","U","         0","U","         0","U","       164","U","        26","U","    0.6","U,0106, ","   42.8","U,0902, ","","","","","","","    1535.6","6","    1535.6","U","     15.81","U","     20.56","U","     11.06","U"
"USR0000CCLV","2018","37.5531","-121.8439","374.9","CALAVERAS ROAD CALIFORNIA, CA US","    353.7","","     353.7","U","         0","U","         0","U","         0","U","       166","U","        15","U","    0.6","U,0223, ","   36.7","U,0623, ","","","","","","","    1430.0","0","    1430.0","U","     15.39","U","     20.38","U","     10.39","U"
"USR0000CCLV","2019","37.5531","-121.8439","374.9","CALAVERAS ROAD CALIFORNIA, CA US","    397.7","","     397.7","U","         0","U","         0","U","         0","U","       173","U","        18","U","    1.1","U,0205, ","   37.8","U,0611, ","","","","","","","    1446.0","0","    1446.0","U","     15.42","U","     20.20","U","     10.64","U"
"USR0000CCLV","2020","37.5531","-121.8439","374.9","CALAVERAS ROAD CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","    1356.6","6","    1356.6","U","","","","","",""
"USR0000CCLV","2021","37.5531","-121.8439","374.9","CALAVERAS ROAD CALIFORNIA, CA US","    414.7","","     414.7","U","         0","U","         1","U","         0","U","       162","U","        17","U","    0.0","U,1218, ","   37.8","U,0828,+","0.0","U,1218","","","","","","","","","     15.30","U","     20.14","U","     10.46","U"
"USR0000CCLV","2022","37.5531","-121.8439","374.9","CALAVERAS ROAD CALIFORNIA, CA US","    443.0","","     443.0","U","         0","U","         1","U","         0","U","       164","U","        21","U","   -0.6","U,1219, ","   42.2","U,0906,+","-0.6","U,1219","","","","","    1444.5","5","    1444.5","U","     15.46","U","     20.34","U","     10.57","U"
"USR0000CCLV","2023","37.5531","-121.8439","374.9","CALAVERAS ROAD CALIFORNIA, CA US","    357.9","","     357.9","U","         0","U","         0","U","         0","U","       148","U","        19","U","    0.6","U,0301,+","   36.7","U,0701, ","","","","","","","    1800.2","2","    1800.2","U","     14.74","U","     19.45","U","     10.02","U"
