"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00419966","1940","31.69528","-106.32167","1118.6","YSLETA, TX US","    813.4","","     813.4","0","        30","0","        14","0","         0","0","        0","","         1","0","         0","0","       103","0","         1","0","       243","0","       110","0","","","  -13.3","0,0119, ","     0"," ,0,1231,+","   102"," ,0,0121, ","  16.5"," ,0,0508, ","   40.0","0,0711,+","-1.7","0,1029","-3.9","0,1101","-6.7","0,1111","-6.7","0,1111","-9.4","0,1114","-2.2","0,0418","-2.2","0,0418","-6.1","0,0315","-10.0","0,0314","-10.0","0,0314","    1758.7","7","    1758.7","0","","","    131.6"," ,0","      102"," ,0","     15.64","0","     25.28","0","      6.01","0","",""
"USC00419966","1941","31.69528","-106.32167","1118.6","YSLETA, TX US","    832.2","","     832.2","0","","","","","","","        0","","         0","0","         0","0","        82","0","         0","0","       235","0","        91","0","","","  -10.0","0,0118, ","     0"," ,0,1231,+","     0"," ,0,1231,+","","","   37.8","0,0619,+","0.0","0,1101","-4.4","0,1124","-4.4","0,1124","-7.8","0,1226","","","-3.3","0,0420","-3.3","0,0420","-8.3","0,0308","-8.3","0,0308","-9.4","0,0119","    1795.7","7","    1795.7","0","","","    380.4"," ,0","        0"," ,0","     15.87","0","     24.35","0","      7.39","0","",""
"USC00419966","1942","31.69528","-106.32167","1118.6","YSLETA, TX US","    843.0","","     843.0","0","        36","0","        23","0","         0","0","        0","","         0","0","         0","0","        92","0","         0","0","       255","0","        98","0","","","  -10.6","0,0219, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  23.1"," ,0,0823, ","   40.0","0,0724,+","-1.1","0,1031","-2.2","0,1101","-6.1","0,1122","","","","","0.0","0,0409","-2.2","0,0326","-5.0","0,0318","-7.2","0,0309","-9.4","0,0308","    1696.2","2","    1696.2","0","","","    246.0"," ,0","        0"," ,0","     16.07","0","     25.35","0","      6.79","0","",""
"USC00419966","1943","31.69528","-106.32167","1118.6","YSLETA, TX US","   1021.6","","    1021.6","0","        25","0","        15","0","         1","0","        0","","         1","0","         0","0","        98","0","         0","0","       262","0","       123","0","","","  -11.1","0,0211, ","     0"," ,0,1231,+","   122"," ,0,1127, ","  25.4"," ,0,0923, ","   38.9","0,0728,+","0.0","0,1021","-2.2","0,1107","-8.9","0,1108","-8.9","0,1108","-8.9","0,1108","-0.6","0,0325","-3.9","0,0307","-5.6","0,0303","-6.7","0,0214","-11.1","0,0211","    1454.0","0","    1454.0","0","","","    158.2"," ,0","      122"," ,0","     16.74","0","     26.04","0","      7.45","0","",""
"USC00419966","1944","31.69528","-106.32167","1118.6","YSLETA, TX US","    805.2","","     805.2","0","        37","0","        19","0","         1","0","        0","","         0","0","         0","0","       106","0","         1","0","       239","0","        94","0","","","  -12.8","0,0109, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  29.5"," ,0,0904, ","   40.6","0,0804, ","-1.7","0,1107","-3.3","0,1109","-6.7","0,1126","-6.7","0,1126","-9.4","0,1206","0.0","0,0405","-3.9","0,0331","-5.6","0,0330","-7.8","0,0120","-8.9","0,0117","    1804.8","8","    1804.8","0","","","    211.7"," ,0","        0"," ,0","     15.38","0","     24.77","0","      5.99","0","",""
"USC00419966","1945","31.69528","-106.32167","1118.6","YSLETA, TX US","","","","","        18","0","        11","0","         2","0","        0","","         0","0","         0"," ","       122","0","","","","","","","","","  -10.0","0,0130,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  40.4"," ,0,1008, ","","","-1.1","0,1024","-5.0","0,1110","-5.0","0,1110","-7.2","0,1122","","","-1.1","0,0412","-3.3","0,0411","-5.0","0,0404","-6.7","0,0320","-9.4","0,0222","    1793.8","8","    1793.8","0","","","    134.9"," ,0","        0"," ,0","","","","","      5.54","0","",""
"USC00419966","1946","31.69528","-106.32167","1118.6","YSLETA, TX US","","","","","","","","","","","","","","","","","","","","","","","","","         3"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00419966","1947","31.69528","-106.32167","1118.6","YSLETA, TX US","","","","","        19","0","        14","0","         0","0","","","","","","","","","","","","","","","        13"," ","","","","","","","  19.3"," ,0,0816, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    132.6"," ,0","","","","","","","","","",""
"USC00419966","1948","31.69528","-106.32167","1118.6","YSLETA, TX US","   1044.4","","    1044.4","0","        16","0","        10","0","         0","0","        1","","         1","0","         1","0","       111","0","         1","0","       258","0","       131","0","","","  -21.1","0,0130, ","    51"," ,0,0128, ","    51"," ,0,0128, ","  18.3"," ,0,0602, ","   40.6","0,0713,+","0.0","0,1104","-3.3","0,1105","-4.4","0,1106","-7.2","0,1109","-8.9","0,1110","-3.3","0,0403","-3.3","0,0403","-5.6","0,0402","-8.9","0,0312","-8.9","0,0312","","","","","","","    115.6"," ,0","       51"," ,0","     16.33","0","     26.07","0","      6.59","0","",""
"USC00419966","1949","31.69528","-106.32167","1118.6","YSLETA, TX US","   1021.1","","    1021.1","0","        31","0","        24","0","         0","0","        0","","         1","0","         2","0","        94","0","         6","0","       265","0","       119","0","","","  -18.9","0,0106, ","     0"," ,0,1231,+","   178"," ,0,0103, ","  20.8"," ,0,1022, ","   39.4","0,0718, ","-0.6","0,1011","-2.8","0,1113","-5.0","0,1212","-11.7","0,1221","-11.7","0,1221","-2.2","0,0412","-2.2","0,0412","-7.2","0,0208","-7.2","0,0208","-11.7","0,0201","    1765.8","8","    1765.8","0","","","    210.9"," ,0","      178"," ,0","     16.30","0","     25.32","0","      7.26","0","",""
