"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00094918","1954","41.36667","-96.01667","399.0","OMAHA WSFO, NE US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094918","1955","41.36667","-96.01667","399.0","OMAHA WSFO, NE US","","","    718.5","","     718.5","0","        79","0","        40","0","         7","0","       44","","         8","0","        13","0","       144","0","        70","0","       169","0","        51","0","         2"," ","","","        42"," ","  -26.7","0,0212, ","   178"," ,0,0208,+","   112"," ,0,0324, ","  42.4"," ,0,0708, ","   39.4","0,0908,+","-0.6","0,1023","-2.8","0,1024","-6.1","0,1102","-10.0","0,1103","-10.0","0,1103","0.0","0,0408","-8.3","0,0328","-8.3","0,0328","-8.3","0,0328","-14.4","0,0327","","","","","    551.1"," ,0","","","      586"," ,0","      9.86","0","     15.96","0","      3.76","0","","","","","","","","","",""
"USW00094918","1956","41.36667","-96.01667","399.0","OMAHA WSFO, NE US","","","    649.0","","     649.0","0","        79","0","        43","0","         5","0","       42","","         7","0","        10","0","       147","0","        44","0","       164","0","        38","0","         5"," ","","","        54"," ","  -21.1","0,0202,+","   203"," ,0,0204,+","   135"," ,0,1120, ","  38.6"," ,0,0707, ","   40.0","0,0726, ","-2.2","0,1107","-2.2","0,1107","-5.6","0,1108","-8.3","0,1115","-11.1","0,1116","-1.7","0,0430","-5.0","0,0424","-5.0","0,0424","-8.9","0,0330","-8.9","0,0330","    3948.9","9","    3948.9","0","    543.6"," ,0","","","      517"," ,0","     10.19","0","     16.28","0","      4.09","0","","","","","","","","","",""
"USW00094918","1957","41.36667","-96.01667","399.0","OMAHA WSFO, NE US","","","    494.6","","     494.6","0","       103","0","        61","0","         5","0","       42","","        12","0","        13","0","       148","0","        41","0","       139","0","        22","0","        21"," ","","","        41"," ","  -25.0","0,0114,+","   356"," ,0,0325, ","   264"," ,0,0324, ","  57.7"," ,0,0520, ","   37.8","0,0712, ","-0.6","0,1024","-5.0","0,1025","-5.0","0,1025","-7.8","0,1109","-11.1","0,1121","-3.3","0,0414","-3.3","0,0414","-6.1","0,0413","-8.9","0,0412","-8.9","0,0412","    3549.8","8","    3549.8","0","    860.8"," ,0","","","     1195"," ,0","      9.45","0","     14.70","0","      4.21","0","","","","","","","","","",""
"USW00094918","1958","41.36667","-96.01667","399.0","OMAHA WSFO, NE US","","","    417.3","","     417.3","0","        88","0","        48","0","         8","0","       53","","         6","0","        20","0","       137","0","        61","0","       156","0","        10","0","        15"," ","","","","","  -26.1","0,0216, ","   127"," ,0,0120, ","   114"," ,0,0119, ","  50.3"," ,0,0730, ","   35.0","0,0604, ","-0.6","0,1001","-2.8","0,1026","-4.4","0,1106","-9.4","0,1125","-9.4","0,1125","-3.3","0,0429","-3.3","0,0429","-6.1","0,0321","-6.7","0,0303","-11.7","0,0302","    3723.0","0","    3723.0","0","    767.9"," ,0","","","      523"," ,0","      9.33","0","     14.79","0","      3.87","0","","","","","","","","","",""
"USW00094918","1959","41.36667","-96.01667","399.0","OMAHA WSFO, NE US","","","    557.2","","     557.2","0","       119","0","        64","0","         4","0","       39","","        10","0","        16","0","       154","0","        53","0","       138","0","        19","0","        14"," ","","","","","  -26.7","0,0104, ","   203"," ,0,0306, ","   119"," ,0,0304, ","  88.1"," ,0,0802, ","   34.4","0,0729, ","-1.7","0,1009","-2.8","0,1017","-11.1","0,1105","-11.1","0,1105","-11.1","0,1105","0.0","0,0515","-4.4","0,0409","-4.4","0,0409","-7.8","0,0321","-10.0","0,0316","    3704.9","9","    3704.9","0","    932.1"," ,0","","","      822"," ,0","      9.27","0","     14.56","0","      3.98","0","","","","","","","","","",""
"USW00094918","1960","41.36667","-96.01667","399.0","OMAHA WSFO, NE US","","","    460.4","","     460.4","0","       107","0","        66","0","        11","0","       91","","        16","0","        23","0","       148","0","        76","0","       153","0","        19","0","        17"," ","","","","","  -26.7","0,0304, ","   838"," ,0,0316, ","   193"," ,0,0114, "," 109.7"," ,0,0620, ","   34.4","0,0803,+","-3.9","0,1019","-3.9","0,1019","-6.1","0,1020","-7.8","0,1109","-10.0","0,1110","-1.7","0,0430","-3.3","0,0410","-6.7","0,0326","-6.7","0,0326","-8.9","0,0324","    4155.3","3","    4155.3","0","   1062.5"," ,0","","","     1458"," ,0","      8.63","0","     13.89","0","      3.36","0","","","","","","","","","",""
"USW00094918","1961","41.36667","-96.01667","399.0","OMAHA WSFO, NE US","","","    469.7","","     469.7","0","       103","0","        54","0","         9","0","       54","","        10","0","        18","0","       151","0","        51","0","       132","0","        14","0","        16"," ","","","","","  -26.7","0,0127, ","   254"," ,0,1224,+","   208"," ,0,1211, ","  79.2"," ,0,1010, ","   37.8","0,0630, ","-0.6","0,1001","-5.0","0,1102","-5.0","0,1102","-7.8","0,1103","-8.9","0,1117","0.0","0,0509","-3.9","0,0416","-4.4","0,0402","-11.1","0,0225","-11.1","0,0225","    3537.6","6","    3537.6","0","    800.7"," ,0","","","      935"," ,0","      9.14","0","     14.55","0","      3.73","0","","","","","","","","","",""
"USW00094918","1962","41.36667","-96.01667","399.0","OMAHA WSFO, NE US","","","    512.5","","     512.5","0","       120","0","        55","0","         9","0","       76","","         9","0","        24","0","       139","0","        63","0","       150","0","        13","0","        12"," ","","","","","  -26.1","0,0228, ","   279"," ,0,0309, ","   132"," ,0,0220, ","  70.6"," ,0,0528, ","   34.4","0,0707, ","0.0","0,1024","-5.0","0,1025","-5.0","0,1025","-7.2","0,1205","-11.7","0,1206","-5.6","0,0415","-5.6","0,0415","-5.6","0,0415","-10.0","0,0317","-10.0","0,0317","    3983.9","9","    3983.9","0","    789.4"," ,0","","","      818"," ,0","      9.43","0","     14.76","0","      4.10","0","","","","","","","","","",""
"USW00094918","1963","41.36667","-96.01667","399.0","OMAHA WSFO, NE US","","","    632.1","","     632.1","0","       106","0","        48","0","         5","0","       55","","         9","0","        30","0","       126","0","        62","0","       173","0","        28","0","         4"," ","","","","","  -28.9","0,0127,+","   229"," ,0,0306,+","   213"," ,0,0305, ","  54.9"," ,0,0624, ","   35.6","0,0802,+","-3.3","0,1101","-3.3","0,1101","-5.0","0,1102","-8.3","0,1123","-10.6","0,1202","-1.7","0,0423","-3.3","0,0404","-4.4","0,0317","-8.3","0,0306","-9.4","0,0228","    3575.6","6","    3575.6","0","    637.7"," ,0","","","      851"," ,0","     10.35","0","     15.90","0","      4.79","0","","","","","","","","","",""
