"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00024335","1936","36.1","-112.1","783.9","PHANTOM RANCH, AZ US","","","","","        59","6","        30","6","         0","6","","","","","         0","6","         2","6","         0","6","       231","6","       153","6","","","    0.0","6,0119,+","","","","","  23.1"," ,6,1228, ","   45.6","6,0621,+","","","","","","","0.0","6,0119","","","","","","","","","","","    266.4"," ,6","","","     20.71","6","     27.40","6","     14.02","6"
"USC00024335","1937","36.1","-112.1","783.9","PHANTOM RANCH, AZ US","   1957.3","","    1957.3","6","        58","6","        33","6","         1","6","","","","","         0","6","        26","6","         2","6","       238","6","       147","6","","","   -7.2","6,0122, ","","","","","  39.1"," ,6,0930, ","   46.7","6,0812,+","","","","","","","0.0","6,0209","-2.2","6,0128","-6.1","6,0127","-7.2","6,0122","","","","","    280.9"," ,6","","","     20.18","6","     26.84","6","     13.52","6"
"USC00024335","1938","36.1","-112.1","783.9","PHANTOM RANCH, AZ US","   1822.1","","    1822.1","6","        70","6","        38","6","         0","6","","","","","         0","6","         5","6","         0","6","       222","6","       143","6","","","   -1.1","6,1125, ","","","","","  19.1"," ,6,0228, ","   47.2","6,0801, ","0.0","6,1124","","","","","0.0","6,0126","","","","","","","    1048.4","4","    1048.4","6","    284.6"," ,6","","","     19.81","6","     26.56","6","     13.07","6"
"USC00024335","1939","36.1","-112.1","783.9","PHANTOM RANCH, AZ US","   1931.5","","    1931.5","6","        51","6","        23","6","         2","6","","","","","         0","6","        15","6","         0","6","       240","6","       138","6","","","   -2.2","6,0210,+","","","","","  34.8"," ,6,0905, ","   46.7","6,0714, ","-1.1","6,1227","","","","","0.0","6,0221","-2.2","6,0210","","","","","    1307.2","2","    1307.2","6","    232.3"," ,6","","","     20.31","6","     27.32","6","     13.31","6"
"USC00024335","1940","36.1","-112.1","783.9","PHANTOM RANCH, AZ US","   1918.3","","    1918.3","6","","","","","","","","","         0","6","         0","6","         9","6","         0","6","       230","6","       130","6","","","   -1.1","6,1215,+","","","    10"," ,6,1217, ","","","   46.1","6,0810,+","-1.1","6,1215","","","","","-0.6","6,0121","","","","","","","     970.7","7","     970.7","6","","","       10"," ,6","     20.70","6","     27.47","6","     13.94","6"
"USC00024335","1941","36.1","-112.1","783.9","PHANTOM RANCH, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    1102.5","5","    1102.5","6","","","","","","","","","",""
"USC00024335","1943","36.1","-112.1","783.9","PHANTOM RANCH, AZ US","   2120.4","","    2120.4","6","        39","6","        31","6","         0","6","","","","","         0","6","         4","6","         0","6","       261","6","       160","6","","","   -2.8","6,0119, ","","","","","  24.1"," ,6,0123, ","   45.6","6,0710, ","","","","","","","-1.1","6,0210","-2.2","6,0120","","","","","","","","","    226.9"," ,6","","","     21.34","6","     28.27","6","     14.41","6"
"USC00024335","1944","36.1","-112.1","783.9","PHANTOM RANCH, AZ US","","","","","        35","6","        15","6","         0","6","","","","","","","","","         0","6","       233","6","       144","6","","","","","","","","","  14.7"," ,6,0224, ","   44.4","6,0813,+","","","","","","","","","","","","","","","    1173.7","7","    1173.7","6","    125.1"," ,6","","","","","     27.14","6","",""
"USC00024335","1947","36.1","-112.1","783.9","PHANTOM RANCH, AZ US","   1988.7","","    1988.7","6","        43","6","        15","6","         1","6","","","","","         0","6","        25","6","         0","6","       244","6","       159","6","","","   -2.2","6,0104,+","","","","","  25.4"," ,6,0811, ","   45.0","6,0727,+","-0.6","6,1216","","","","","0.0","6,0123","-2.2","6,0104","","","","","","","","","    148.5"," ,6","","","     20.74","6","     27.82","6","     13.67","6"
"USC00024335","1948","36.1","-112.1","783.9","PHANTOM RANCH, AZ US","   1959.7","","    1959.7","0","        55","0","        24","0","         1","0","","","","","         0","0","        25","0","         0","0","       236","0","       156","0","","","   -3.9","0,0304, ","","","","","  26.9"," ,0,1223, ","   45.6","0,0716, ","0.0","0,1122","","","","","-1.7","6,0305","-3.9","6,0304","","","","","    1363.9","9","    1363.9","0","    244.2"," ,0","","","     20.14","0","     27.35","0","     12.94","0"
