"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00457941","1996","47.6812","-117.62675","728.8","SPOKANE WEATHER FORECAST OFFICE, WA US","","","","","","","","","","","","","","","","","","","","","","","","","        11"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00457941","1997","47.6812","-117.62675","728.8","SPOKANE WEATHER FORECAST OFFICE, WA US","    122.0","","     122.0","0","       111","0","        57","0","         0","0","       63","","        11","0","         0","0","       173","0","        32","0","       103","0","         9","0","        23"," ","         1"," ","  -16.7","0,1222, ","   178"," ,0,0101, ","    99"," ,0,0211, ","  19.3"," ,0,1216,+","   36.7","0,0803, ","-0.6","0,1005","-3.3","0,1007","-6.1","0,1024","-10.0","0,1112","-10.0","0,1112","-0.6","0,0507","-2.8","0,0421","-6.7","0,0412","-6.7","0,0412","-9.4","0,0314","","","","","","","","","","","","","","","","","    409.8"," ,0","      774"," ,0","      7.79","0","     13.86","0","      1.72","0"
"USC00457941","1998","47.6812","-117.62675","728.8","SPOKANE WEATHER FORECAST OFFICE, WA US","    242.7","","     242.7","0","       128","0","        50","0","         0","0","       14","","        12","0","         4","0","       144","0","        18","0","       127","0","        33","0","","","","","  -21.1","0,1220, ","   203"," ,0,1225, ","   178"," ,0,1225, ","  22.4"," ,0,0517, ","   38.3","0,0727, ","-1.1","0,1003","-2.2","0,1005","-4.4","0,1015","-8.9","0,1030","-8.9","0,1030","0.0","0,0516","-3.3","0,0425","-4.4","0,0416","-6.7","0,0226","-11.7","0,0113","    3730.0","0","","","    3730.0","0","","","","","","","","","","","    478.6"," ,0","      815"," ,0","      8.98","0","     15.32","0","      2.64","0"
"USC00457941","1999","47.6812","-117.62675","728.8","SPOKANE WEATHER FORECAST OFFICE, WA US","    156.0","","     156.0","0","       112","0","        47","0","         0","0","       23","","        16","0","         0","0","       159","0","        14","0","       109","0","        17","0","","","","","  -17.2","0,0124, ","   152"," ,0,0123, ","   109"," ,0,0122, ","  21.8"," ,0,0227, ","   36.7","0,0728, ","-0.6","0,0907","-3.9","0,0927","-4.4","0,0928","-8.3","0,1016","","","-1.1","0,0526","-2.2","0,0511","-4.4","0,0510","-11.7","0,0211","-11.7","0,0211","    3712.6","6","","","    3712.6","0","","","","","","","","","","","    374.5"," ,0","     1066"," ,0","      8.52","0","     14.88","0","      2.17","0"
"USC00457941","2000","47.6812","-117.62675","728.8","SPOKANE WEATHER FORECAST OFFICE, WA US","    131.0","","     131.0","0","       115","0","        49","0","         1","0","       97","","        23","0","         1","0","       169","0","        47","0","       114","0","        18","0","","","","","  -18.3","0,1111, ","   254"," ,0,1217,+","   147"," ,0,1108, ","  31.5"," ,0,0413, ","   37.8","0,0731, ","-3.3","0,0922","-3.3","0,0922","-7.2","0,0923","-7.2","0,0923","-10.0","0,1110","-1.1","0,0506","-3.9","0,0407","-4.4","0,0330","-8.3","0,0219","-10.0","0,0218","    3578.9","9","","","    3578.9","0","","","","","","","","","","","    405.1"," ,0","     1534"," ,0","      7.66","0","     13.84","0","      1.47","0"
"USC00457941","2001","47.6812","-117.62675","728.8","SPOKANE WEATHER FORECAST OFFICE, WA US","    194.4","","     194.4","0","       108","0","        56","0","         0","0","      109","","        18","0","         0","0","       160","0","        28","0","       124","0","        21","0","","","","","  -16.1","0,0208,+","   406"," ,0,0219,+","   142"," ,0,1128, ","  16.5"," ,0,1213, ","   38.3","0,0811, ","-3.3","0,1005","-3.3","0,1005","-5.6","0,1204","-8.9","0,1215","-8.9","0,1215","0.0","0,0529","-3.3","0,0506","-4.4","0,0412","-8.3","0,0303","-10.6","0,0228","    4148.4","4","","","    4148.4","0","","","","","","","","","","","    367.5"," ,0","     1410"," ,0","      8.15","0","     14.68","0","      1.62","0"
"USC00457941","2002","47.6812","-117.62675","728.8","SPOKANE WEATHER FORECAST OFFICE, WA US","    178.2","","     178.2","0","       109","0","        48","0","         0","0","       38","","        20","0","         0","0","       157","0","        17","0","       114","0","        17","0","","","","","  -16.1","0,1031, ","   127"," ,0,0320,+","   193"," ,0,0320, ","  19.1"," ,0,1108, ","   39.4","0,0713,+","-0.6","0,0922","-3.9","0,1001","-5.0","0,1002","-7.8","0,1012","-10.0","0,1025","0.0","0,0607","-3.9","0,0508","-5.6","0,0424","-8.3","0,0321","-10.0","0,0308","    3737.2","2","","","    3737.2","0","","","","","","","","","","","    350.8"," ,0","     1361"," ,0","      8.24","0","     14.62","0","      1.85","0"
"USC00457941","2003","47.6812","-117.62675","728.8","SPOKANE WEATHER FORECAST OFFICE, WA US","    227.0","","     227.0","0","       114","0","        48","0","         1","0","       38","","        14","0","         2","0","       151","0","        32","0","       129","0","        37","0","","","","","  -20.6","0,1122, ","   279"," ,0,1120, ","   279"," ,0,1120, ","  33.5"," ,0,0530, ","   38.3","0,0730,+","0.0","0,1009","-4.4","0,1024","-4.4","0,1024","-11.7","0,1031","-11.7","0,1031","-1.1","0,0518","-2.2","0,0507","-4.4","0,0324","-7.2","0,0226","-10.0","0,0225","    3554.6","6","","","    3554.6","0","","","","","","","","","","","    404.7"," ,0","     1047"," ,0","      9.04","0","     15.49","0","      2.59","0"
"USC00457941","2004","47.6812","-117.62675","728.8","SPOKANE WEATHER FORECAST OFFICE, WA US","    215.4","","     215.4","0","       124","0","        48","0","         1","0","       62","","        16","0","         3","0","       138","0","        24","0","       107","0","        26","0","","","","","  -28.3","0,0105, ","   381"," ,0,0124, ","   168"," ,0,0101, ","  37.3"," ,0,0521, ","   36.7","0,0814, ","0.0","0,0921","-2.2","0,1025","-5.0","0,1031","-8.3","0,1130","-10.6","0,1201","-0.6","0,0425","-2.8","0,0418","-5.0","0,0303","-7.2","0,0214","-12.8","0,0213","    3738.2","2","","","    3738.2","0","","","","","","","","","","","    398.5"," ,0","     1092"," ,0","      8.68","0","     14.60","0","      2.77","0"
"USC00457941","2005","47.6812","-117.62675","728.8","SPOKANE WEATHER FORECAST OFFICE, WA US","    122.4","","     122.4","0","       105","0","        55","0","         0","0","       48","","        11","0","         6","0","       141","0","        36","0","        98","0","        15","0","","","","","  -21.1","0,0115, ","   279"," ,0,0116,+","   135"," ,0,0107, ","  20.3"," ,0,0509, ","   35.6","0,0728, ","0.0","0,0924","-2.8","0,1030","-5.6","0,1114","-7.8","0,1115","-15.0","0,1202","-1.1","0,0428","-2.8","0,0415","-4.4","0,0322","-7.8","0,0222","-10.0","0,0221","    3699.1","1","","","    3699.1","0","","","","","","","","","","","    447.6"," ,0","      958"," ,0","      7.87","0","     13.93","0","      1.81","0"
