"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00291963","1949","34.5988","-103.2161","1351.8","CLOVIS 13 N, NM US","","","","","","","","","","","","","","","","","","","","","","","","","         6"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00291963","1950","34.5988","-103.2161","1351.8","CLOVIS 13 N, NM US","    468.6","","     468.6","0","        55","0","        32","0","         5","0","        0","","         0","0","         2","0","       120","0","         1","0","       227","0","        47","0","        17"," ","","","  -18.9","0,1206, ","     0","T,0,1206, ","     8"," ,0,1206, ","  48.3"," ,0,0718, ","   36.7","0,0628,+","-3.3","0,1103","-3.3","0,1103","-6.7","0,1104","-6.7","0,1104","-15.0","0,1110","-1.1","0,0430","-3.3","0,0425","-4.4","0,0405","-6.7","0,0329","-11.7","0,0319","    2211.9","9","","","    2211.9","0","","","","","","","","","","","    426.0"," ,0","        8"," ,0","     13.76","0","     22.96","0","      4.55","0","",""
"USC00291963","1951","34.5988","-103.2161","1351.8","CLOVIS 13 N, NM US","    643.9","","     643.9","0","        62","0","        25","0","         3","0","","","","","         3","0","       148","0","        12","0","       201","0","        79","0","         2"," ","","","  -27.2","0,0201, ","","","","","  61.0"," ,0,0702, ","   39.4","0,0629, ","-2.2","0,1007","-2.2","0,1007","-4.4","0,1031","-12.8","0,1102","-12.8","0,1102","-1.1","0,0503","-5.6","0,0416","-5.6","0,0416","-8.3","0,0413","-8.9","0,0411","    2382.5","5","","","    2382.5","0","","","","","","","","","","","    337.8"," ,0","","","     12.89","0","     22.00","0","      3.79","0","",""
"USC00291963","1952","34.5988","-103.2161","1351.8","CLOVIS 13 N, NM US","    718.1","","     718.1","0","        57","0","        23","0","         0","0","","","         3","0","         1","0","       140","0","         9","0","       200","0","        78","0","","","","","  -17.8","0,1126, ","","","   165"," ,0,1125, ","  24.1"," ,0,0601, ","   39.4","0,0620,+","-1.7","0,1007","-2.8","0,1015","-7.2","0,1110","-7.2","0,1110","-8.9","0,1125","0.0","0,0519","-7.2","0,0410","-7.2","0,0410","-7.2","0,0410","-13.9","0,0323","    2511.9","9","","","    2511.9","0","","","","","","","","","","","    250.8"," ,0","      355"," ,0","     13.37","0","     21.99","0","      4.75","0","",""
"USC00291963","1953","34.5988","-103.2161","1351.8","CLOVIS 13 N, NM US","    716.3","","     716.3","0","        50","0","        22","0","         2","0","","","         1","0","         0","0","       119","0","         2","0","       211","0","        88","0","","","","","  -16.7","0,1223, ","","","   127"," ,0,0122, ","  33.0"," ,0,0717, ","   40.6","0,0624, ","-1.7","0,1108","-2.8","0,1111","-7.8","0,1120","-7.8","0,1120","-9.4","0,1122","-2.8","0,0514","-2.8","0,0514","-6.1","0,0418","-8.9","0,0304","-8.9","0,0304","    2355.4","4","","","    2355.4","0","","","","","","","","","","","    266.3"," ,0","      127"," ,0","     14.11","0","     23.21","0","      5.00","0","",""
"USC00291963","1954","34.5988","-103.2161","1351.8","CLOVIS 13 N, NM US","    767.1","","     767.1","0","        58","0","        25","0","         2","0","","","         3","0","         0","0","       123","0","         3","0","       223","0","        79","0","","","","","  -16.7","0,0121, ","","","    51"," ,0,0112, ","  53.3"," ,0,1006, ","   38.9","0,0727, ","0.0","0,1015","-4.4","0,1102","-4.4","0,1102","-7.2","0,1209","-8.9","0,1217","-3.9","0,0503","-3.9","0,0503","-6.1","0,0331","-6.7","0,0315","-10.6","0,0314","    2142.4","4","","","    2142.4","0","","","","","","","","","","","    300.5"," ,0","      135"," ,0","     14.92","0","     23.77","0","      6.06","0","     56532","0"
"USC00291963","1955","34.5988","-103.2161","1351.8","CLOVIS 13 N, NM US","    572.3","","     572.3","0","        73","0","        33","0","         2","0","        0","","         0","0","         0","0","       123","0","         1","0","       217","0","        53","0","","","","","  -17.2","0,0220, ","     0"," ,0,1231,+","     0","T,0,1107, ","  46.2"," ,0,0728, ","   37.2","0,0624, ","-2.2","0,1024","-2.2","0,1024","-5.0","0,1103","-10.6","0,1108","-10.6","0,1108","0.0","0,0413","-5.6","0,0404","-5.6","0,0404","-6.7","0,0328","-13.3","0,0327","    2207.1","1","","","    2207.1","0","","","","","","","","","","","    380.7"," ,0","        0","T,0","     13.77","0","     22.50","0","      5.05","0","     66901","0"
"USC00291963","1956","34.5988","-103.2161","1351.8","CLOVIS 13 N, NM US","    676.8","","     676.8","0","        49","0","        27","0","         3","0","","","         2","0","         0","0","       136","0","         4","0","       222","0","        93","0","","","","","  -15.6","0,0206, ","","","   305"," ,0,0204, ","  33.3"," ,0,1018, ","   37.8","0,0708, ","-1.7","0,1025","-3.3","0,1103","-8.9","0,1104","-8.9","0,1104","-8.9","0,1104","0.0","0,0429","-2.2","0,0410","-5.6","0,0328","-10.0","0,0316","-10.0","0,0316","    2183.5","5","","","    2183.5","0","","","","","","","","","","","    316.6"," ,0","      432"," ,0","     14.01","0","     23.41","0","      4.60","0","     72458","0"
"USC00291963","1957","34.5988","-103.2161","1351.8","CLOVIS 13 N, NM US","    561.8","","     561.8","0","        66","0","        35","0","         5","0","","","         1","0","         0","0","       103","0","         2","0","       187","0","        53","0","         2"," ","","","  -16.1","0,1123, ","","","    64"," ,0,1121, ","  66.3"," ,0,0731, ","   41.1","0,0629, ","-2.2","0,1027","-2.2","0,1027","-4.4","0,1120","-11.7","0,1122","-11.7","0,1122","0.0","0,0423","-2.8","0,0414","-4.4","0,0412","-6.7","0,0307","-9.4","0,0129","    2178.0","0","","","    2178.0","0","","","","","","","","","","","    522.0"," ,0","       77"," ,0","     13.60","0","     21.69","0","      5.51","0","     70147","0"
"USC00291963","1958","34.5988","-103.2161","1351.8","CLOVIS 13 N, NM US","    736.0","","     736.0","0","        71","0","        47","0","         2","0","","","         3","0","         1","0","       131","0","         4","0","       189","0","        84","0","","","","","  -17.8","0,1230, ","","","   102"," ,0,0105,+","  50.8"," ,0,0911, ","   41.1","0,0714,+","-2.2","0,1031","-2.2","0,1031","-7.2","0,1118","-7.2","0,1118","-13.9","0,1128","-2.2","0,0424","-2.2","0,0424","-5.0","0,0330","-6.7","0,0317","-8.9","0,0301","    2607.4","4","","","    2607.4","0","","","","","","","","","","","    496.0"," ,0","      281"," ,0","     13.36","0","     21.63","0","      5.08","0","     48526","0"
"USC00291963","1959","34.5988","-103.2161","1351.8","CLOVIS 13 N, NM US","    624.8","","     624.8","0","        57","0","        33","0","         8","0","","","         0","0","         2","0","       117","0","         4","0","       209","0","        54","0","","","","","  -22.8","0,0104, ","","","    13"," ,0,0201, ","  49.5"," ,0,0603, ","   37.2","0,0803, ","-0.6","0,1027","-7.2","0,1105","-7.2","0,1105","-7.2","0,1105","-11.1","0,1106","-0.6","0,0422","-3.9","0,0413","-8.9","0,0316","-8.9","0,0316","-8.9","0,0316","    2243.2","2","","","    2243.2","0","","","","","","","","","","","    542.6"," ,0","       13"," ,0","     13.77","0","     22.29","0","      5.25","0","     65151","0"
"USC00291963","1960","34.5988","-103.2161","1351.8","CLOVIS 13 N, NM US","    622.8","","     622.8","0","        57","0","        42","0","         6","0","","","","","         4","0","       125","0","        13","0","       221","0","        61","0","","","","","  -19.4","0,0225,+","","","","","  89.2"," ,0,0707, ","   39.4","0,0620, ","-1.7","0,1031","-2.2","0,1109","-5.6","0,1110","-8.9","0,1129","-8.9","0,1129","-1.1","0,0502","-2.2","0,0418","-5.6","0,0317","-8.3","0,0316","-12.2","0,0304","    2482.0","0","","","    2482.0","0","","","","","","","","","","","    720.0"," ,0","","","     13.17","0","     21.56","0","      4.77","0","     56711","0"
"USC00291963","1961","34.5988","-103.2161","1351.8","CLOVIS 13 N, NM US","    536.7","","     536.7","0","        58","0","        42","0","         4","0","","","         6","0","         1","0","       123","0","         7","0","       215","0","        55","0","","","         1"," ","  -22.2","0,1212, ","","","   102"," ,0,0319,+","  57.2"," ,0,0615, ","   36.7","0,0613, ","0.0","0,1023","-7.8","0,1103","-7.8","0,1103","-7.8","0,1103","-8.9","0,1115","-0.6","0,0416","-2.8","0,0415","-6.1","0,0409","-6.7","0,0313","-8.9","0,0224","    2322.3","3","","","    2322.3","0","","","","","","","","","","","    508.0"," ,0","      407"," ,0","     13.17","0","     21.71","0","      4.63","0","     53389","0"
"USC00291963","1962","34.5988","-103.2161","1351.8","CLOVIS 13 N, NM US","    666.6","","     666.6","0","        39","0","        29","0","         1","0","","","         1","0","         2","0","       112","0","         3","0","       218","0","        89","0","","","","","  -21.7","0,0111, ","","","    28"," ,0,0105, ","  26.2"," ,0,0925, ","   37.8","0,0815,+","0.0","0,1103","-2.2","0,1116","-15.0","0,1118","-15.0","0,1118","-15.0","0,1118","0.0","0,0501","-5.6","0,0402","-5.6","0,0402","-7.2","0,0316","-11.1","0,0315","    2395.5","5","","","    2395.5","0","","","","","","","","","","","    333.2"," ,0","       28"," ,0","     14.28","0","     23.47","0","      5.09","0","",""
"USC00291963","1963","34.5988","-103.2161","1351.8","CLOVIS 13 N, NM US","    690.5","","     690.5","0","        50","0","        35","0","         6","0","","","","","         8","0","       111","0","         7","0","       237","0","        68","0","","","","","  -25.6","0,0113, ","","","","","  76.7"," ,0,0602, ","   38.3","0,0711, ","-0.6","0,1101","-3.3","0,1118","-5.6","0,1123","-6.7","0,1126","-9.4","0,1208","-0.6","0,0403","-2.2","0,0322","-6.7","0,0314","-6.7","0,0314","-10.0","0,0305","    2058.1","1","","","    2058.1","0","","","","","","","","","","","    516.3"," ,0","","","     14.49","0","     23.37","0","      5.61","0","     44943","0"
"USC00291963","1964","34.5988","-103.2161","1351.8","CLOVIS 13 N, NM US","    674.1","","     674.1","0","        36","0","        25","0","         3","0","","","         0","0","         2","0","       131","0","         2","0","       219","0","        83","0","","","","","  -18.9","0,0113, ","","","     0","T,0,1219,+","  43.9"," ,0,0920, ","   37.8","0,0704,+","0.0","0,1105","-2.2","0,1113","-6.1","0,1122","-9.4","0,1130","-9.4","0,1130","-1.7","0,0413","-5.6","0,0408","-5.6","0,0408","-7.8","0,0326","-9.4","0,0325","    2266.7","7","","","    2266.7","0","","","","","","","","","","","    282.8"," ,0","        0","T,0","     13.67","0","     22.88","0","      4.45","0","     47191","0"
"USC00291963","1965","34.5988","-103.2161","1351.8","CLOVIS 13 N, NM US","    589.0","","     589.0","0","        59","0","        32","0","         1","0","","","","","         0","0","       109","0","         3","0","       225","0","        67","0","","","","","  -16.7","0,0224, ","","","","","  27.4"," ,0,0610, ","   36.7","0,0720,+","-0.6","0,1117","-4.4","0,1127","-4.4","0,1127","-6.7","0,1129","-10.0","0,1219","-0.6","0,0406","-5.0","0,0330","-5.0","0,0330","-10.0","0,0327","-10.0","0,0327","    2258.3","3","","","    2258.3","0","","","","","","","","","","","    291.5"," ,0","","","     14.06","0","     23.06","0","      5.06","0","     42064","0"
"USC00291963","1966","34.5988","-103.2161","1351.8","CLOVIS 13 N, NM US","    651.3","","     651.3","0","        36","0","        28","0","         3","0","","","         0","0","         2","0","       119","0","         1","0","       224","0","        66","0","","","","","  -18.9","0,0122, ","","","     0"," ,0,1231,+","  28.2"," ,0,0617, ","   37.2","0,0720, ","-3.9","0,1015","-3.9","0,1015","-7.8","0,1102","-7.8","0,1102","-11.1","0,1202","0.0","0,0502","-5.0","0,0420","-5.0","0,0420","-8.3","0,0323","-12.2","0,0305","    2163.6","6","","","    2163.6","0","","","","","","","","","","","    333.5"," ,0","        0"," ,0","     13.83","0","     23.09","0","      4.56","0","     37740","0"
"USC00291963","1967","34.5988","-103.2161","1351.8","CLOVIS 13 N, NM US","    553.9","","     553.9","0","        37","0","        27","0","         3","0","        0","","         0","0","         0","0","       116","0","         3","0","       250","0","        55","0","","","","","  -15.0","0,0109,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  36.3"," ,0,0626, ","   36.1","0,0808,+","-1.1","0,1027","-2.8","0,1031","-5.6","0,1104","-7.8","0,1203","-12.2","0,1210","-1.7","0,0502","-2.2","0,0424","-4.4","0,0316","-8.3","0,0308","-8.9","0,0306","    1824.9","9","","","    1824.9","0","","","","","","","","","","","    346.1"," ,0","        0"," ,0","     14.34","0","     23.55","0","      5.14","0","     44007","0"
"USC00291963","1968","34.5988","-103.2161","1351.8","CLOVIS 13 N, NM US","    643.6","","     643.6","0","        37","0","        28","0","         1","0","        6","","         1","0","         0","0","       114","0","         2","0","       209","0","        77","0","","","","","  -16.1","0,1231, ","    51"," ,0,1108,+","    46"," ,0,1108, ","  44.5"," ,0,0829, ","   41.7","0,0629,+","-1.1","0,1018","-5.6","0,1111","-5.6","0,1111","-7.8","0,1128","-8.9","0,1205","0.0","0,0429","-3.3","0,0323","-5.0","0,0322","-8.3","0,0312","-10.0","0,0221","    2240.1","1","","","    2240.1","0","","","","","","","","","","","    286.9"," ,0","       46"," ,0","     14.10","0","     22.94","0","      5.26","0","     43977","0"
