"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0049L19S","1990","60.62","-149.53","426.7","SUMMIT CREEK, AK US","","","","","","","       123","T","       123","T","         5","T","","","","","","","","","","","","","","","","","  30.5"," ,T,1226,+","","","","","","","","","","","","","","","","","","","","","","","","","","","    747.3"," ,T","","","","","",""
"USS0049L19S","1991","60.62","-149.53","426.7","SUMMIT CREEK, AK US","","","","","","","       133","T","       133","T","         2","T","","","","","","","","","","","","","","","","","  35.6"," ,T,1216, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    782.6"," ,T","","","","","",""
"USS0049L19S","1992","60.62","-149.53","426.7","SUMMIT CREEK, AK US","","","","","","","       122","T","       122","T","         2","T","","","","","","","","","","","","","","","","","  40.6"," ,T,1026, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    688.3"," ,T","","","","","",""
"USS0049L19S","1993","60.62","-149.53","426.7","SUMMIT CREEK, AK US","","","","","","","       113","T","       113","T","         2","T","","","","","","","","","","","","","","","","","  27.9"," ,T,0916, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    712.1"," ,T","","","","","",""
"USS0049L19S","1994","60.62","-149.53","426.7","SUMMIT CREEK, AK US","","","","","","","       126","T","       126","T","         0","T","","","","","","","","","","","","","","","","","  20.3"," ,T,1016, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    627.5"," ,T","","","","","",""
"USS0049L19S","1995","60.62","-149.53","426.7","SUMMIT CREEK, AK US","","","","","","","       136","T","       136","T","         5","T","","","","","","","","","","","","","","","","","  94.0"," ,T,0920, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    815.3"," ,T","","","","","",""
"USS0049L19S","1996","60.62","-149.53","426.7","SUMMIT CREEK, AK US","","","","","","","        96","T","        96","T","         1","T","","","","","","","","","","","","","","","","","  38.1"," ,T,0917, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    432.0"," ,T","","","","","",""
"USS0049L19S","1997","60.62","-149.53","426.7","SUMMIT CREEK, AK US","","","","","","","       125","T","       125","T","         3","T","","","","","","","","","","","","","","","","","  27.9"," ,T,1210,+","","","","","","","","","","","","","","","","","","","","","","","","","","","    698.5"," ,T","","","","","",""
"USS0049L19S","1998","60.62","-149.53","426.7","SUMMIT CREEK, AK US","","","","","","","       121","T","       121","T","         1","T","","","","","","","","","","","","","","","","","  45.7"," ,T,0831, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    655.5"," ,T","","","","","",""
"USS0049L19S","1999","60.62","-149.53","426.7","SUMMIT CREEK, AK US","","","","","","","       136","T","       136","T","         5","T","","","","","","","","","","","","","","","","","  53.3"," ,T,1221, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    810.3"," ,T","","","","","",""
